N,big_area,big_area_diff,small_area,small_area_diff
100,0.68055,0.263968,0.9996,0.0550828
500,0.952769,0.00825214,0.94472,0.000202814
1000,0.816659,0.127858,0.95256,0.00804281
1500,0.862029,0.0824878,0.949947,0.00542948
2000,0.967353,0.0228353,0.95256,0.00804281
2500,0.956658,0.012141,0.961184,0.0166668
3000,0.917121,0.0273957,0.973467,0.0289495
3500,0.847215,0.0973025,0.9464,0.00188281
4000,0.923603,0.0209143,0.94374,0.000777186
4500,0.95709,0.0125731,0.935138,0.00937941
5000,0.970269,0.025752,0.948248,0.00373081
5500,0.908578,0.0359394,0.953273,0.00875554
6000,0.990038,0.0455203,0.940147,0.00437052
6500,0.921359,0.0231578,0.97608,0.0315628
7000,0.923603,0.0209143,0.9632,0.0186828
7500,0.968325,0.0238076,0.927472,0.0170452
8000,0.941832,0.00268527,0.945945,0.00142781
8500,0.956201,0.0116835,0.937802,0.00671483
9000,0.943047,0.00147,0.939711,0.00480607
9500,0.923091,0.021426,0.956067,0.0115502
10000,0.934297,0.0102199,0.950404,0.00588681
10500,0.97314,0.0286223,0.92568,0.0188372
11000,0.944815,0.000297663,0.958975,0.0144574
11500,0.955306,0.0107883,0.954776,0.0102585
12000,0.945478,0.000960536,0.94423,0.000287186
12500,0.958991,0.0144743,0.947699,0.00318201
13000,0.916872,0.027645,0.958742,0.0142244
13500,0.938366,0.00615103,0.928895,0.0156224
14000,0.928464,0.0160532,0.95326,0.00874281
14500,0.917904,0.0266135,0.931473,0.0130441
15000,0.996195,0.0516777,0.952952,0.00843481
15500,0.92078,0.0237368,0.951928,0.00741056
16000,0.935756,0.0087616,0.951213,0.00669531
16500,0.961608,0.0170904,0.950897,0.00637978
17000,0.936756,0.00776079,0.945296,0.000779285
17500,0.951658,0.00714104,0.926688,0.0178292
18000,0.967353,0.0228353,0.938622,0.00589496
18500,0.982198,0.0376813,0.944402,0.000115024
19000,0.914392,0.0301247,0.954623,0.010106
19500,0.899422,0.045095,0.954872,0.0103546
20000,0.940131,0.00438664,0.956186,0.0116688
20500,0.934274,0.0102436,0.94386,0.000657674
21000,0.937955,0.00656255,0.9338,0.0107172
21500,0.962718,0.0182004,0.940071,0.00444649
22000,0.938628,0.00588915,0.948551,0.00403372
22500,0.900486,0.0440313,0.937664,0.00685319
23000,0.952769,0.00825214,0.942249,0.00226849
23500,0.930015,0.0145018,0.951392,0.00687515
24000,0.923198,0.0213194,0.951417,0.00689948
24500,0.940468,0.00404934,0.94744,0.00292281
25000,0.938769,0.00574774,0.953814,0.00929721
25500,0.972595,0.0280777,0.934882,0.00963562
26000,0.952769,0.00825214,0.948866,0.00434897
26500,0.956071,0.011554,0.945312,0.000794512
27000,0.913521,0.0309965,0.943776,0.00074089
27500,0.942163,0.00235383,0.948284,0.00376645
28000,0.945825,0.00130775,0.93289,0.0116272
28500,0.937077,0.00743973,0.944582,6.52702e-05
29000,0.962156,0.017639,0.945328,0.00081109
29500,0.951451,0.00693388,0.952892,0.00837502
30000,0.932677,0.0118403,0.946941,0.00242415
30500,0.947032,0.00251448,0.93733,0.00718735
31000,0.927994,0.0165236,0.948008,0.00349056
31500,0.946288,0.00177071,0.940364,0.00415274
32000,0.979505,0.034988,0.941168,0.00334969
32500,0.96982,0.0253033,0.952319,0.00780158
33000,0.923603,0.0209143,0.947274,0.00275675
33500,0.962346,0.0178292,0.946885,0.00236759
34000,0.958488,0.013971,0.950946,0.0064287
34500,0.929662,0.0148555,0.944436,8.12439e-05
35000,0.957214,0.0126965,0.945616,0.00109881
35500,0.967832,0.0233146,0.946873,0.00235605
36000,0.929004,0.0155131,0.940582,0.00393496
36500,0.938919,0.00559858,0.948908,0.00439131
37000,0.963543,0.0190253,0.94329,0.00122746
37500,0.934103,0.0104144,0.944877,0.000359614
38000,0.938442,0.00607522,0.944101,0.000416133
38500,0.961608,0.0170904,0.948284,0.00376645
39000,0.942798,0.00171928,0.943212,0.00130488
39500,0.932587,0.0119305,0.948293,0.00377547
40000,0.951554,0.00703687,0.947464,0.00294681
40500,0.941487,0.00303034,0.952076,0.00755886
41000,0.949687,0.00516951,0.949118,0.00460086
41500,0.945507,0.000989819,0.946562,0.00204474
42000,0.962954,0.0184372,0.93744,0.00707719
42500,0.931953,0.0125647,0.937848,0.00666872
43000,0.953448,0.00893043,0.951648,0.00713119
43500,0.938242,0.00627519,0.931338,0.0131793
44000,0.953653,0.00913597,0.934163,0.0103545
44500,0.935291,0.00922586,0.953353,0.00883562
45000,0.934837,0.0096798,0.951863,0.00734593
45500,0.949778,0.00526071,0.942652,0.00186488
46000,0.922546,0.021971,0.939096,0.00542153
46500,0.940225,0.00429255,0.937091,0.00742643
47000,0.95339,0.0088727,0.945971,0.00145388
47500,0.948062,0.00354458,0.947691,0.00317376
48000,0.949124,0.00460634,0.94962,0.00510281
48500,0.970209,0.0256918,0.939184,0.00533368
49000,0.964277,0.01976,0.94212,0.00239719
49500,0.928808,0.0157095,0.941948,0.0025689
50000,0.96288,0.0183632,0.950639,0.00612201
50500,0.947956,0.0034392,0.951551,0.00703371
51000,0.923222,0.0212955,0.948832,0.00431497
51500,0.942575,0.00194195,0.950162,0.00564514
52000,0.936503,0.00801374,0.952673,0.00815589
52500,0.933695,0.0108218,0.94808,0.00356281
53000,0.970196,0.0256786,0.947087,0.00256961
53500,0.933507,0.0110104,0.941093,0.0034241
54000,0.947548,0.00303099,0.949838,0.00532059
54500,0.94492,0.000403074,0.944468,4.8929e-05
55000,0.915825,0.028692,0.951776,0.00725881
55500,0.938755,0.00576175,0.947581,0.00306335
56000,0.939054,0.00546302,0.94444,7.71859e-05
56500,0.93952,0.0049975,0.936325,0.00819223
57000,0.948505,0.00398804,0.943929,0.000588063
57500,0.940596,0.00392167,0.938243,0.00627371
58000,0.957463,0.0129456,0.944957,0.000439366
58500,0.946122,0.00160452,0.943849,0.000668297
59000,0.946343,0.00182564,0.940235,0.00428193
59500,0.959632,0.0151148,0.945906,0.0013887
60000,0.931705,0.0128125,0.942009,0.00250852
60500,0.948913,0.00439542,0.941513,0.00300446
61000,0.935716,0.00880145,0.948511,0.00399429
61500,0.955773,0.0112557,0.948003,0.00348542
62000,0.931757,0.0127602,0.941306,0.00321138
62500,0.947169,0.00265219,0.945222,0.000704574
63000,0.940115,0.00440207,0.947302,0.00278504
63500,0.927048,0.0174694,0.94188,0.00263687
64000,0.947301,0.00278344,0.946006,0.00148906
64500,0.966034,0.0215164,0.956115,0.0115982
65000,0.9245,0.0200168,0.935101,0.00941626
65500,0.957964,0.0134472,0.946485,0.00196831
66000,0.958662,0.0141443,0.950065,0.00554827
66500,0.925723,0.0187944,0.942568,0.00194876
67000,0.950157,0.00564022,0.941648,0.00286883
67500,0.96458,0.0200627,0.94925,0.00473259
68000,0.941617,0.00289972,0.945988,0.00147105
68500,0.949221,0.00470391,0.945063,0.000546172
69000,0.942624,0.0018927,0.947191,0.00267412
69500,0.928989,0.0155286,0.949007,0.00448943
70000,0.938742,0.00577552,0.95074,0.00622281
70500,0.941737,0.00278007,0.946694,0.00217671
71000,0.946334,0.00181636,0.9408,0.00371719
71500,0.939852,0.00466539,0.942527,0.00199019
72000,0.93508,0.00943675,0.939657,0.00486052
72500,0.957865,0.0133479,0.953452,0.00893495
73000,0.958629,0.0141121,0.948103,0.00358583
73500,0.944172,0.00034567,0.939733,0.00478385
74000,0.949222,0.00470487,0.945938,0.00142119
74500,0.960469,0.0159515,0.947535,0.00301785
75000,0.937344,0.00717365,0.941218,0.00329905
75500,0.947361,0.0028438,0.945914,0.00139699
76000,0.925522,0.0189954,0.944127,0.000390344
76500,0.954803,0.0102855,0.943285,0.00123196
77000,0.945572,0.00105523,0.94528,0.000762814
77500,0.955529,0.011012,0.945883,0.00136617
78000,0.950152,0.00563464,0.948791,0.00427358
78500,0.948063,0.00354588,0.943247,0.00127031
79000,0.944155,0.000362413,0.94209,0.00242706
79500,0.948611,0.00409424,0.943093,0.00142436
80000,0.954714,0.0101966,0.942834,0.00168369
80500,0.952165,0.00764828,0.954435,0.0099176
81000,0.944608,9.03445e-05,0.943946,0.000571507
81500,0.952173,0.00765569,0.946163,0.00164576
82000,0.950754,0.00623657,0.945294,0.000776473
82500,0.943931,0.000586168,0.949614,0.00509687
83000,0.946093,0.00157549,0.939194,0.00532297
83500,0.950674,0.00615635,0.949438,0.0049209
84000,0.938649,0.00586811,0.94829,0.00377281
84500,0.940228,0.00428884,0.948222,0.0037053
85000,0.940416,0.00410069,0.945296,0.000779285
85500,0.937305,0.00721231,0.940181,0.00433613
86000,0.958196,0.0136784,0.941848,0.00266881
86500,0.939507,0.00501043,0.944765,0.000248132
87000,0.953552,0.00903438,0.942625,0.00189236
87500,0.952992,0.00847436,0.94295,0.00156679
88000,0.931778,0.0127388,0.9455,0.00098236
88500,0.938488,0.00602897,0.946027,0.00150948
89000,0.93835,0.00616721,0.942562,0.00195539
89500,0.949619,0.00510195,0.944873,0.00035611
90000,0.937646,0.00687118,0.945961,0.00144415
90500,0.930962,0.0135555,0.940324,0.00419365
91000,0.947427,0.0029103,0.949954,0.00543666
91500,0.948094,0.00357701,0.943949,0.000568333
92000,0.926879,0.0176383,0.946126,0.0016089
92500,0.946778,0.0022612,0.943427,0.00108973
93000,0.942734,0.00178362,0.941812,0.00270557
93500,0.951314,0.00679642,0.944741,0.000223777
94000,0.958251,0.0137338,0.943782,0.000735484
94500,0.937955,0.00656255,0.939639,0.00487867
95000,0.935986,0.00853134,0.940656,0.00386161
95500,0.95226,0.00774313,0.945931,0.0014137
96000,0.941832,0.00268527,0.943209,0.00130802
96500,0.945818,0.00130056,0.947828,0.00331038
97000,0.936633,0.0078846,0.943609,0.000908526
97500,0.955462,0.0109444,0.939996,0.00452129
98000,0.949694,0.00517677,0.94126,0.00325719
98500,0.952671,0.00815344,0.949715,0.00519733
99000,0.944422,9.51508e-05,0.944423,9.41556e-05
99500,0.937136,0.00738145,0.944168,0.000348744
100000,0.934103,0.0104144,0.947876,0.00335841
